user,location,text,sentiment,probability
Davidsp521,,#Anonymous hackea @NoticiasCaracol y @NoticiasRCN son los que dan noticias falsas y se ponen a favor de @IvanDuque… https://t.co/a2RMA96H7V,Positivo,62
AbbyuneeExo,"Bogotá, D.C., Colombia",PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCN O CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLI… https://t.co/KqpgyuArh2,Positivo,64
xxiumsn,𝑲𝒂𝒊𝑺𝒐𝒐☆🐻🐧.,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM Y MUESTRE LOS VIDEOS DE ABUSO POLICIAL… https://t.co/MZfyLRElnm,Positivo,62
ChamoGonzlez6,,"@AnonymousOpCOL
PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM Y MUESTRE LOS VIDEOS DE ABUSO POLICIAL",Positivo,59
DanielaAmaxal,"Puebla, México","#Anonymous ANONYMOUS
COLOMBIA https://t.co/IDXLfefXJw",Positivo,64
httpstatts1,♡,"#ATENCION  #SOSColombiaDDHH la 
@PoliciaColombia
 esta disparándole a los manifestantes en #Siloe por favor sigan e… https://t.co/f42CHfv6za",Positivo,66
LytanaLytana,,"@ELTIEMPO Le dio miedo que #Anonymous lo hackeara,  esa era una posibilidad, los ciudadanos estaban pidiendo eso y… https://t.co/r1vfWFm4o3",Negativo,54
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCN O CARACOL DE LAS 7:00 PM Y MUESTRE LOS VIDEO… https://t.co/xCyU6fuzWw,Positivo,68
krlavallejo,riohacha y santa marta,Ahora le toca a la página de Uribe #Anonymous,Positivo,68
MacarenaReales5,"Catamarca, Argentina","Lo hicieron de vuelta!!.
#Anonymous  canceló la página del Gobierno Colombiano!.
 Vamos Colombia!!🇨🇴🇦🇷 https://t.co/DGLOWXO79E",Positivo,66
DanielG16628276,,"#Anonymous

Te amo",Positivo,65
JUSTK3NMA,they/she ,🚨⚠️ ATENCIÓN: es necesario que COPIEN Y PEGUEN la lista de manifestantes desaparecidos durante el #ParoNacional4M e… https://t.co/mxQCFX0si3,Positivo,61
JuanJoC993,Cali,#Anonymous pasen el correo de duque y la bancada uribista,Positivo,61
KatsCarey,"Bogotá, D.C., Colombia","La página del senado en estos momentos.💪🏻
#Anonymous 
#SOSColombiaDDHH 
#ParoNacional4M https://t.co/VUhqykWi2j",Positivo,71
imparcialsoloc2,,"#Anonymous #SOSColombiaDDHH #SOSColombiaNosEstanMatando #NosEstanMasacrando
correo de senadores incluyendo Alvaro U… https://t.co/nJRs6pUT7E",Positivo,65
caer1990,,@RuvnD Y #Anonymous #AnonymousNews  y de DATACREDITO...Y LOS BANCOS QUE LOS QUE DEBEN PLATA QUEDE A PAZ Y SALVO 👍👍😂… https://t.co/omNcEUfUe7,Positivo,61
GGutierrezDavid,,"@YourAnonNewsESP Hackean el senado de la república. 

La realidad es esta: 
Los votantes votan, pero no eligen. Es… https://t.co/emjiwkjiRe",Positivo,66
InbaaX,Eurasia Colony,"HUMMM QUE EXTRAÑO, TIENE UNA REUNION JUSTO HOY QUE LLEGO #Anonymous HMMMMMMMMMMMMM https://t.co/5xwvXqXGPA",Positivo,81
DanielaAmaxal,"Puebla, México","#Anonymous 
COLOMBIA https://t.co/Fev6N5pnPF",Positivo,66
davidsora182000,"Tunja, Colombia","#Anonymous 
#SOSColombiaDDHH 
#SOSColombiaNosEstanMatando 
#SOSColombiaEnDictadura 
Saque a duque de TV, Muestre la… https://t.co/m7CCGEnPKf",Positivo,65
CarlosMedina_18,"Barranquilla, Atlántico","Verdaderamente Gracias #Anonymous todos los Colombianos que están por la lucha de un mejor país, ustedes gracias ta… https://t.co/aE1BuLbEDK",Positivo,92
Santiago_Duvan_,"Bogotá, D.C., Colombia","#Anonymous

PETICIÓN NACIONAL PARA QUE TUMBEN LAS NOTICIAS DE LAS 7:00pm Y DEJEN DE INFORMAR SOLO LO QUE LES IMPORTA",Positivo,51
luisa_glm,,Tengo un nuevo héroe y es #Anonymous,Positivo,79
AmarillaOpium,Colombia,Gracias #Anonymous https://t.co/5bgwo19SMP,Positivo,89
Ever14810816,,todo aquel que sale a protestar  pacíficamente no es un vándalo. Pero aquellos que sale a destruir si lo son y en e… https://t.co/z3vXvPntzk,Positivo,60
Valenti01009934,,"#SOSColombiaDDHH #EsUrgente Ojalá #Anonymous #anonymoushackers no se les ocurra hackear a RCN, Caracol o Semana, se… https://t.co/WIEvH9n261",Positivo,66
CisfChristian,Bogotá,A lo bien #Anonymous #AnonymousColombia deberian hackear  todos los archivos bancarios (sobretodo los del grupo ava… https://t.co/u39WXJz6eG,Positivo,73
siendokarol34,,"Oigan confirmen si movistar se cayo , soy la unica? Pero solo es tv #Anonymous",Positivo,48
viverosnieva23,,Eliminé data crédito  porfavor #Anonymous,Positivo,61
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCN O CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLI… https://t.co/UQYoyTCwBJ,Positivo,64
KatteGalindo,"Barrancabermeja, Colombia",@ELTIEMPO Alguien le tiene miedo a @YourAnonNews #Anonymous,Negativo,67
Sarasepulveda01,"Medellín, Colombia","#Anonymous capullo hazme un hijo tuyo 💛 
#SOSColombiaDDHH #FuerzaCOLOMBIA #NosEstanMatando #Colombia #DuqueAsesino",Positivo,61
twtemma,"La Rioja, Argentina","""EL EJÉRCITO ASESINO DE COLOMBIA"" By: @YourAnonNews
#Anonymous ❤️‍🔥 🇨🇴

 #SOSColombiaDDHH… https://t.co/shpBhPKPUy",Positivo,64
YuLeY50525688,,"Estos son los correos publicados en Wikipedia x #anonymous 

aleigam@cgfm.mil.co  | 10321035
alexurr@cgfm.mil.co  |… https://t.co/7WiYdJm30f",Positivo,64
xxiumsn,𝑲𝒂𝒊𝑺𝒐𝒐☆🐻🐧.,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM Y MUESTRE LOS VIDEOS DE ABUSO POLICIAL… https://t.co/VTitknO9Xj,Positivo,62
NathaliaMateus7,"Pennsylvania, USA",#Anonymous #Anonymous  Eduardo Enrique Zapateiro Altamiranda asesino,Positivo,55
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCN O CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLI… https://t.co/sVzJ5uHNwF,Positivo,64
jufepaz,Colombia,"Despues de  1 año por fin maduque nos deja de atormentar, un dia de orgullo nacional.
#SOSColombiaDDHH… https://t.co/RmSuAHP6k0",Positivo,70
luchope01,,Hoy no hay programa diario de Duque en el televisor. Gracias #Anonymous,Positivo,93
DomeHs3,"Guayaquil, Ecuador","#Anonymous 
#SOSColombiaDDHH
#NosEstanMasacrando
Se metieron con los de la generación equivocada. https://t.co/34kRoPaHIY",Positivo,63
Alex_bloguer,,#Anonymous Ayuda a Colombia🇨🇴 entero revela alguno secreto que el gobierno no quiere que sepa,Positivo,50
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCN O CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLI… https://t.co/fBrVkxhoQy,Positivo,64
jacoDiazM,"Manizales, Colombia",@ing_juani7a Increíble lo que demuestran los ataques de #Anonymous... Dejan desprotegidos sus datos y de una manera… https://t.co/ycBlbAhLJY,Positivo,53
melizagarrido9,,Petición para que #Anonymous hacke a @NoticiasRCN y @NoticiasCaracol #NosEstanMatando #SOSColombiaDDHH,Positivo,60
ClaudioLoaizaA1,,"@CaracolTV
@NoticiasRCN
Estos son los que dan noticias falsas hay es donde se prestan para sacar en limpio a el títere
#Anonymous",Positivo,53
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCNO CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLIC… https://t.co/qKjAQbKlPD,Positivo,65
1peres23,en contra de lo que sea ,"Sino no Paran estan Matanzas del Gobierno  #Anonymous va a sacar a todos los reportados de Data Credito
#DuqueAsesino
#ParoNacional4M",Negativo,54
AGSs10_97,,"#Anonymous a tumbado la página del senado del Gobierno Colombiano!
Y Duque, no hizo su programa diario de ""protecci… https://t.co/djqaLghm7b",Positivo,65
ttrollero66,,"#Anonymous deberían tumbar la página por dónde pagan impuestos, a ver cómo les va sin recaudar hptas",Negativo,46
vasquez_zary,,@Elienell Le dió miedo que #Anonymous  actúe y lo cancelo JA JA,Positivo,50
xxiumsn,𝑲𝒂𝒊𝑺𝒐𝒐☆🐻🐧.,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM Y MUESTRE LOS VIDEOS DE ABUSO POLICIAL… https://t.co/kgga7Em2Vc,Positivo,62
floratris,,#Anonymous tumba la página del Senado de la República de #Colombia #ParoNacional https://t.co/RbAKT2RPFo,Positivo,68
daryrss,,PETICIÓN NACIOONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCN O CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POL… https://t.co/Ov4ZPEhd3n,Positivo,68
Mariana89219076,,"Los amo, tumbaron la página del senado #Anonymous https://t.co/eOp9QFJdLw",Positivo,71
DavidJBeltran16,Colombia,"#Anonymous  lo volvió hacer, horas después de tumbar la pagina del Ejercito Nacional, tumbaron la del senado… https://t.co/NwJxQI28iR",Positivo,65
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCN O CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLI… https://t.co/rP07SPUy00,Positivo,64
Maleja46907544,,🚨⚠️ ATENCIÓN: es necesario que COPIEN Y PEGUEN la lista de manifestantes desaparecidos durante el #ParoNacional4M e… https://t.co/clUVE1ORNX,Positivo,61
RuvnD,Cartagena,Ojalá #Anonymous no se olvide del ICETEX!!,Positivo,60
Mochi72900289,,"#Anonymous 😎😎
Sigamos colombia necesita un buen gobierno no un gobierno tan pudrido como el que tenemos https://t.co/W3z2XHGgIo",Positivo,65
DjAndreX4,,@knhm1802 #Anonymous Te necesitamos !!!!POR FAVOR EL GOBIERNO NOS MATA Y CAPTURA GENTE QUE NO TIENE NADA QUE VER Y… https://t.co/LxkUoUCVih,Positivo,65
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCNO CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLIC… https://t.co/xwkiSzNO7B,Positivo,65
Eduardgon53,,Aló presidente versión Colombia no lo están dando #Anonymous,Positivo,73
Elienell,"Bogotá, Colombia",Se dieron cuenta que no salio el programa de Duque hoy????? #Anonymous 🤍🤍👏👏,Positivo,78
noitsimportant_,Maybesleeping,"#Anonymous Grandes, son grandes! Gracias muchachos @AnonymousOpCOL @YourAnonCentral",Positivo,88
OrlandoF3R,,"#Anonymous MUCHAS GRACIAS  por su apoyo 
Me llena de alegría ver qué todos las personas de mi país y otros países s… https://t.co/4jHhqqfg6V",Positivo,89
9559Micro,"Cúcuta, Norte de Santander ","Al presidente se le arrugó 
#Anonymous #ConferenciaPresidente #ATENCION #ColombiaEnAlertaRoja #ColombiaSOS… https://t.co/wNbMSCpIPJ",Positivo,70
TETEXGIRL,🇨🇴☁️ she/her.,"A el mlp le dió miedo 🕵🏻‍♀️

#SOSColombiaDDHH #SOSColombiaEnDictadura #SOSColombiaNosEstanMatando #Anonymous https://t.co/xONin8pafj",Negativo,51
ferneybariios,Bogotá ,"#Anonymous  dios no lo quiera y tumben o borren el historial de la base de datos de  la pagina de datacredito... 
Guiño guiño 😉",Positivo,57
davidmor0204,"Cali, Colombia",#Anonymous por favor ayúdennos con este gobierno corrupto!.,Positivo,53
AlejaVaSa,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM Y MUESTRE LOS VIDEOS DE ABUSO POLICIAL… https://t.co/PMEaewDfqs,Positivo,62
isma_037,,No we #Anonymous no va hackear tu cuenta pedorra ya siéntate,Positivo,60
seankamilolugo,"Bogotá, D.C., Colombia",@CaracolRadio Jajajaja esta asustado el gordito #Anonymous,Positivo,58
djandresgallego,Santiago de Cali,"Porfa amigos de #Anonymous @YourAnonNews hackéale el corazón a la que me gusta, esta difícil 🙏🏻",Positivo,72
Bay01357481,,"La Policía mata al pueblo por orden del Matarife, los medios como Semana, RCN y Caracol son cómplices de todas esta… https://t.co/XlgBPKRlIB",Positivo,66
Menesesc29,"Ocaña, Colombia","Nunca veo el programa de Duque, pero estaba esperando que lo intervinera #Anonymous, ¿sintieron la presión?",Positivo,67
Anonymous_Latin,,@NiEstatNiRei @AnonNews_Col @ChalecosAmarill @EPInforma @Col_Informa @CNA_Colombia @45SegundosCom @DrSuazo915… https://t.co/SNUOUJ0hkF,Positivo,65
HEDOJUDI,,"Son mi religión 🛐
#DerechosHumanos
#Anonymous #AnonymousColombia #SOSColombiaDDHH #ParoNacional 
#ParoNacional4M… https://t.co/kxZHZAKPMl",Positivo,64
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCN O CARACOL DE LAS 7 Y MUESTRE LOS VIDEOS DE A… https://t.co/x632dLnJNa,Positivo,66
adictituyu,Colombia,Si quieren mas detalles aquí hacker fiscalia lo explica todo el estuvo investigando también mandaron a matar a pope… https://t.co/5yepE4cCkK,Positivo,59
viverosnieva23,,"#paronacionalcolombia
#DuqueAsesino
#AnonymousColombia #Anonymous 
Que trasmita en la TV colombiana todo los abusos… https://t.co/NLLgfBcwLx",Positivo,63
byeriiika,◉ Colombia,"Estoy esperando que le modifiquen la Biografía a Duque en wikipedia.

#Anonymous  #AnonymousColombia   🤣",Positivo,64
xxiumsn,𝑲𝒂𝒊𝑺𝒐𝒐☆🐻🐧.,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM Y MUESTRE LOS VIDEOS DE ABUSO POLICIAL… https://t.co/Z6Fqzijisz,Positivo,62
jilaikthat,,"No apoyar el paro, es apoyar la tiranía, apoyar el homicidio, apoyar la muerte. #NosEstanMatando #Anonymous #ParoNacional",Negativo,56
Ale_xdxd1,,"@mawluk @LuisitoComunica LATINOAMERICA ESTA CON USTEDES🇨🇴
#FuerzaCOLOMBIA #DuqueAsesino #NosEstamosMatando… https://t.co/9Oz3xxeXqK",Positivo,62
h24news_co,"Bogotá, D.C., Colombia","El grupo de hackers ya había bajado la página del Ejército Nacional
#Anonymous #Tecnosfera #NovedadesTecnologia https://t.co/LyBkkz0pz3",Positivo,61
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCN O CARACOL A LAS 7 PM Y MUESTRE LOS VIDEOS DE… https://t.co/Miptjdjtaa,Positivo,66
Maaaari_Anaaaa,,Así quede 🤡 pensando que #Anonymous iba a interrumpir la trasmisión del presidente asesino 🤡 https://t.co/Rx3oWLDCyn,Positivo,65
xxiumsn,𝑲𝒂𝒊𝑺𝒐𝒐☆🐻🐧.,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM Y MUESTRE LOS VIDEOS DE ABUSO POLICIAL… https://t.co/dVx2nJ70U5,Positivo,62
xxiumsn,𝑲𝒂𝒊𝑺𝒐𝒐☆🐻🐧.,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM Y MUESTRE LOS VIDEOS DE ABUSO POLICIAL… https://t.co/0ciAdPpxEs,Positivo,62
juanmescard,,"Colombia creo un nuevo término para gobernar una nación, ""narco dictadura fascista paramilitar""
Gracias al querido… https://t.co/ttZKd9Ur2R",Positivo,82
Angcm871,,"#Anonymous #FuerzaCOLOMBIA  #ColombiaSOS  Lo que está pasando en Colombia verdaderamente es una masacre , están mat… https://t.co/F05nXN7dmB",Positivo,62
cindygomezri,"Medellín, Colombia","""El ejército ASESINO de Colombia""
#Anonymous

#SOSColombiaDDHH
#NosEstanMatando https://t.co/0rFlpGpGOP",Positivo,60
JulinestebanFe1,,@Karelpimienta Claro si #Anonymous era el que le iba a sabotear el programa! Ya sabía lo que le corría pierna arriba,Positivo,63
RiicoSebas,"Bogotá, D.C., Colombia","Ahora si, no creo que a ellos les importe lo que tenian hay, verdad??? A ultima hora con un mes de ""trabajo"" les ba… https://t.co/dDLu2PlrD7",Positivo,69
EdwardRuiz0,Colombia,"#SOSColombiaDDHH 
PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM Y MUESTRE LOS VIDEOS… https://t.co/1nIdEHhfNg",Positivo,67
ClaudioLoaizaA1,,"Te amo soy fan #1 tuyo 
#Anonymous",Positivo,65
howardvargas15,,#Anonymous porfavor te pido que secuestres la señal para que muestres los abusos que hace la policía te lo pido porfavor,Positivo,57
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCNO CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLIC… https://t.co/4ydsziUl1o,Positivo,65
AngelGa_7231,,"PETICIÓN NACIONAL PARA QUE #Anonymous #Anonimuscolombia
#NosEstanMasacrando  TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM… https://t.co/SdIUN6EFF5",Positivo,67
tatrullo,,"Maldito gobierno que nos expone solo a matarnos!

🇨🇴

#ColombiaEnAlertaRoja #NosEstanMatando #Anonymous… https://t.co/iaofQYmoyc",Positivo,49
XDJXJD1,,"Si #Anonymous está tumbando las redes que tumbe también las cuentas del presidente Duque, yo me uno ¿Quién se une?",Positivo,64
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCNO CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLIC… https://t.co/gofAPKaDhN,Positivo,65
AIntales,La Calera,"#Anonymous ataca de nuevo y esta vez filtra una lista con lo que, asegura, son los correos y contraseñas de senador… https://t.co/XAKJZgicrv",Positivo,73
ECuatroojos,,No es por demeritar el trabajo de #Anonymous pero que contraseñas tan chimbas las del ejército.,Positivo,64
palacioj9,"Amazonas, Colombia",#Facebook explicame esto? Y así pasa con muchas opiniones en contra de ese gobierno dictador!  #SOSColombiaDDHH… https://t.co/nL7UL8VuAx,Positivo,66
daryrss,,UNA PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCNO CARACOL Y MUESTRE LOS VIDEOS DE ABUSO P… https://t.co/G5jSKZbuvO,Positivo,66
Karelpimienta,,Oigan se están dando cuenta que no ha comenzado el programa del presidente. Será verdad lo de  #Anonymous,Positivo,79
knhm1802,,Necesitamos ayuda #comisioninteramericanadederechoshumanos #EuropeanCourtofhumanrights #amnistiainternacional… https://t.co/QaK6pHzviP,Positivo,70
ClaudioLoaizaA1,,Mejor el programa RCN y CARACOL #Anonymous,Positivo,84
VanesaV40936132,,PETICION PARA QUE #Anonymous se infiltre en la presentación de los NOTICIEROS @NoticiasCaracol y @NoticiasRCN  y tu… https://t.co/W5BnRaoYUQ,Positivo,64
justjuanda,,#Anonymous COLOMBIA TE NECESITA 😔,Positivo,66
yurani90,colombia,Ahora soy fan #1  de #Anonymous 🤩🤩🤩 i love youu  ....,Positivo,70
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCNO O CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POL… https://t.co/B4m8GH9cCJ,Positivo,65
kublaik19653063,,Y Que tal si vamos al apt de duque y lo llenamos de grafitis ? ..muchos artistas callejeros pueden dibujar marranos fácilmente. #Anonymous,Positivo,64
ritmofreack,Colombia,#Anonymous tumbo página del senado https://t.co/6Ayh883f33,Positivo,69
TimioBoy,"Bogotá, D.C., Colombia","#Anonymous oyee por favor, por favor hay un programa en Colombia a las 6 de  la tarde ese es ese ☺️☺️☺️",Positivo,79
NoTanHetero1,Colombia,"Agradezcan sus servicios prestados...
Guiño, guiño.
#Anonymous
#NosEstanMasacrando 
#NosEstanMatando… https://t.co/jU9FLbQMik",Positivo,63
ehellodha,,"ANONYMOUS HABLA DE LO QUE ESTÁ PASANDO EN COLOMBIA Y HACKEA LA PÁGINA DEL EJÉRCITO 

#Anonymous #SOSColombiaDDHH… https://t.co/vr5yq0ubv8",Positivo,59
ClaudioLoaizaA1,,"#Anonymous
SI EL CIRCO DE DUQUE SE CANCELA NO IMPORTA, PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE… https://t.co/ZDSH0CpUlq",Positivo,64
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCNO O CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POL… https://t.co/HHGJbGoSKN,Positivo,65
gatoimprudente,"Cali, Colombia",Si vieron que el hp del carepuerco no a hablado... buena esa #Anonymous,Positivo,73
SofiaTr09931644,,Ahuevos #Anonymous,Positivo,59
xZhados,,"PLZ TODO EL QUE VEA UN EN VIVO O QUIERA INFORMARCE. TODOS LOS ENVIVOS QUE ENCUENTREN, ENTREN Y DEJENLOS, ESTAMOS VI… https://t.co/jO3md046Yl",Positivo,67
ihaveaconfessi4,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCN O CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLI… https://t.co/Srfk0xXCu3,Positivo,64
Juliana20665195,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCN O CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLI… https://t.co/EzcouSMQ7D,Positivo,64
Emerson58888781,"Barrancabermeja, Colombia",Vamos #Anonymous https://t.co/ZB1EL9daQU,Positivo,73
Sabiendonadade1,,"#Anonymous esperanza, y libertad",Positivo,65
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCNO CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLIC… https://t.co/TnOUTeaJtO,Positivo,65
2701_laura,,Cuando tumban las páginas del Senado y el Ejército pero te acuerdas que la Ministra dijo que solo necesitaba un Ing… https://t.co/a2U47CB8q0,Positivo,59
angie_guerre,,@ELTIEMPO Que #Anonymous hackee a @petrogustavo  y muestre al mundo la cara del cinismo,Positivo,54
djperazao,Bogota,@AnonymousOpCOL @YourAnonCentral pública la lista de senadores con su correo electrónico. Ha hecho más que Iván Duq… https://t.co/QdPaAzkpuF,Positivo,65
krlavallejo,riohacha y santa marta,Deben de hackear la transmisión del cerdo #Anonymous,Positivo,55
JohanCaviedes,Bogotá - Colombia,"25MIL armas más que van apuntar contra los inconformes contra este gobierno, ese es el legado que quiere dejar impl… https://t.co/rIIZ88tRiq",Positivo,49
adictituyu,Colombia,Quien iba a pensar que Uribe y Luis horacio mandaron a matar al ñeñe porque el tenía las rutas del narcotrafico #Anonymous,Positivo,62
Caro15329102,,"#Anonymous
SI EL CIRCO DE DUQUE SE CANCELA NO IMPORTA, PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE… https://t.co/CjJFeviULE",Positivo,64
ClaudioLoaizaA1,,El programa lo cancelaron  #Anonymous,Positivo,71
xxiumsn,𝑲𝒂𝒊𝑺𝒐𝒐☆🐻🐧.,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM Y MUESTRE LOS VIDEOS DE ABUSO POLICIAL… https://t.co/mdVb4RzfIB,Positivo,62
camilacolombiam,"Bogotá, D.C., Colombia","#Anonymous 

@ONU_es

@onucolombia

@ONU_derechos

@CIDH

@CNNEE

@cnnbrk

@ajplusespanol

@AP_Noticias… https://t.co/b8hgEUT6rf",Positivo,64
howardvargas15,,#Anonymous #AnonymousColombia porfavor cambien el programa de las 6 por videos de los abusos de la policía,Positivo,65
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCNO CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLIC… https://t.co/nCrpPRe833,Positivo,65
estebanf23UQ,"Armenia, Colombia","La misma fuerza pública es la que inicia los disturbios, y posteriormente la @PoliciaColombia persigue a los manife… https://t.co/dXaP42HFmN",Positivo,60
Yiselamegatop,su madre ,"#Anonymous ya saben mi contraseña es ""princesita"" AJUA! https://t.co/YaKjsG597A",Positivo,63
Ori96376373,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM Y MUESTRE LOS VIDEOS DE ABUSO POLICIAL… https://t.co/2VSBv6fDiM,Positivo,62
Davidsp521,,#Anonymous por favor metanse en @NoticiasCaracol y @NoticiasRCN y muestren los videos de abusos policiales… https://t.co/49dnVua8ym,Positivo,62
Eris58874198,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM Y MUESTRE LOS VIDEOS DE ABUSO POLICIAL,Positivo,59
vaoi17,"Bogotá, D.C., Colombia",#Anonymous bajo la página del Senado 🥵🥵🥵🥵 https://t.co/fnyhjH8dJn,Positivo,61
Andres089765029,,"Nunca me veo ese programa, pero estaba esperando que lo intervinera #Anonymous, sintieron la presión",Positivo,67
Dmwgj97,Colombia,Si la atacaron no han podido iniciar #Anonymous #AnonymousColombia #Colombia #ColombiaResiste #ColombiaEnDictadura,Positivo,58
smit1415,,@JolmanGomez99 #Anonymous  @AnonNews_Col  vamos vamos peticion por favor,Positivo,79
magarcia1990,,#Anonymous Tumbó la página del @SenadoGovCo. Así aparece ahora mismo. https://t.co/UrHsMqqo4x,Positivo,65
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCNO CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLIC… https://t.co/exTKYnU88x,Positivo,65
masqev_,,"#Anonymous
A @IvanDuque @AlvaroUribeVel le dio miedo que @AnonymousOpCOL tuviera los huevos de desenmascarar todo e… https://t.co/8WXP4dh4ju",Negativo,53
stefaniaroo1,,"Anonymous filtra correos y contraseñas de militares en Colombia como apoyo a las protestas 
#Anonymous… https://t.co/PPUO0GkjA7",Positivo,66
nz_vtr,Entre Cartagena y Bogotá,@AnonymousOpCOL y si #Anonymous entrara a los bancos y borrará las deudas con intereses muy altos? O si entrara al… https://t.co/xVPawdRe8Y,Positivo,53
9559Micro,"Cúcuta, Norte de Santander ","Ya se fijaron que no dieron el anuncio del presidente diario, están asustados. 

#ConferenciaPresidente
#Anonymous… https://t.co/f3XGRazHYJ",Positivo,70
ihaveaconfessi4,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCN O CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLI… https://t.co/4ohq2Ov7yY,Positivo,64
khairfuck,,#Anonymous #AnonymousColombia #SOSColombiaNosEstanMatando lo hicieron de nuevo!!! #helpusanonymous https://t.co/sU5fDRR6LR,Positivo,74
daryrss,,PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE @NoticiasRCNO CARACOL Y MUESTRE LOS VIDEOS DE ABUSO POLIC… https://t.co/PP1P7d647y,Positivo,65
JaniFlz,"Cartagena, Colombia",Petición nacional para que  #Anonymous borre los datos en icetex y datacredito.,Positivo,50
